"Character" "Season" "Episode"
" Stan Marsh
" "01" "01"
" Kyle Broflovski
" "01" "01"
" Eric Cartman
" "01" "01"
" Kenny McCormick
" "01" "01"
" Ike Broflovski
" "01" "01"
" Chef
" "01" "01"
" Ms. Crabtree
" "01" "01"
" Farmer Carl Denkins
" "01" "01"
" Officer Barbrady
" "01" "01"
" Mr. Garrison
" "01" "01"
" Mr. Hat
" "01" "01"
" Pip Pirrup
" "01" "01"
" Train Conductor
" "01" "01"
" A Kid
" "01" "01"
" Jason
" "01" "01"
" Wendy Testaburger
" "01" "01"
" Liane Cartman
" "01" "01"
" News Reporter
" "01" "01"
" Mr. Kitty
" "01" "01"
" Carl the Visitor
" "01" "01"
" Blonde woman
" "01" "01"
" Visitors
" "01" "01"
" Stan Marsh
" "01" "02"
" Kyle Broflovski
" "01" "02"
" Eric Cartman
" "01" "02"
" Kenny McCormick
" "01" "02"
" Mr. Garrison
" "01" "02"
" Mr. Hat
" "01" "02"
" Wendy Testaburger
" "01" "02"
" Bebe Stevens
" "01" "02"
" Clyde Donovan
" "01" "02"
" Mayor McDaniels
" "01" "02"
" Ted
" "01" "02"
" Johnson
" "01" "02"
" Chef
" "01" "02"
" Veronica Crabtree
" "01" "02"
" Kathie Lee Gifford
" "01" "02"
" Jimbo Kern
" "01" "02"
" Officer Barbrady
" "01" "02"
" Liane Cartman
" "01" "02"
" Beefcake
" "01" "02"
" Geraldo Rivera
" "01" "02"
" Stan Marsh
" "01" "03"
" Kyle Broflovski
" "01" "03"
" Eric Cartman
" "01" "03"
" Kenny McCormick
" "01" "03"
" Liane Cartman
" "01" "03"
" Jimbo Kern
" "01" "03"
" Ned Gerblansky
" "01" "03"
" Randy Marsh
" "01" "03"
" Chef
" "01" "03"
" Mayor McDaniels
" "01" "03"
" Ted
" "01" "03"
" Johnson
" "01" "03"
" Newscaster
" "01" "03"
" Officer Barbrady
" "01" "03"
" Mr. Garrison
" "01" "03"
" Scuzzlebutt
" "01" "03"
" Patrick Duffy
" "01" "03"
" Stan Marsh
" "01" "04"
" Kyle Broflovski
" "01" "04"
" Eric Cartman
" "01" "04"
" Kenny McCormick
" "01" "04"
" Sparky
" "01" "04"
" Sylvester
" "01" "04"
" Clyde Donovan
" "01" "04"
" Rex
" "01" "04"
" Chef
" "01" "04"
" Pip Pirrup
" "01" "04"
" Bill Allen
" "01" "04"
" Fosse McDonald
" "01" "04"
" Jimbo Kern
" "01" "04"
" Ned Gerblansky
" "01" "04"
" Bartender
" "01" "04"
" Carl, Explosives Expert
" "01" "04"
" Mr. Garrison
" "01" "04"
" Mr. Hat
" "01" "04"
" Jesus Christ
" "01" "04"
" Enrique the Horse
" "01" "04"
" Frank Hammond
" "01" "04"
" Phil
" "01" "04"
" Big Gay Al
" "01" "04"
" Richard Stamos
" "01" "04"
" Gamblers
" "01" "04"
" Stan Marsh
" "01" "05"
" Kyle Broflovski
" "01" "05"
" Eric Cartman
" "01" "05"
" Kenny McCormick
" "01" "05"
" Ms. Crabtree
" "01" "05"
" Mr. Garrison
" "01" "05"
" Mr. Hat
" "01" "05"
" Bebe Stevens
" "01" "05"
" Pip Pirrup
" "01" "05"
" Clyde Donovan
" "01" "05"
" Terrance Mephesto
" "01" "05"
" Bill Allen
" "01" "05"
" Fosse McDonald
" "01" "05"
" Shelly Marsh
" "01" "05"
" Jesus Christ
" "01" "05"
" Mephesto
" "01" "05"
" Kids
" "01" "05"
" Big Stan
" "01" "05"
" Chef
" "01" "05"
" Elton John
" "01" "05"
" Jimbo Kern
" "01" "05"
" Officer Barbrady
" "01" "05"
" Randy Marsh
" "01" "05"
" Sharon Marsh
" "01" "05"
" Stan Marsh
" "01" "06"
" Kyle Broflovski
" "01" "06"
" Eric Cartman
" "01" "06"
" Kenny McCormick
" "01" "06"
" Randy Marsh
" "01" "06"
" Sharon Marsh
" "01" "06"
" Grandpa Marsh
" "01" "06"
" Shelly Marsh
" "01" "06"
" Sheila Broflovski
" "01" "06"
" Terrance
" "01" "06"
" Phillip
" "01" "06"
" Clyde Donovan 
" "01" "06"
" Liane Cartman
" "01" "06"
" Mr. Garrison
" "01" "06"
" Mr. Hat
" "01" "06"
" Chef
" "01" "06"
" Jesus Christ
" "01" "06"
" Mayor McDaniels
" "01" "06"
" Officer Barbrady
" "01" "06"
" John Warzog
" "01" "06"
" Death
" "01" "06"
" Great Grandpa Marsh
" "01" "06"
" Suzanne Sommers
" "01" "06"
" Dude
" "01" "06"
" Stan Marsh
" "01" "07"
" Kyle Broflovski
" "01" "07"
" Eric Cartman
" "01" "07"
" Kenny McCormick
" "01" "07"
" Wendy Testaburger
" "01" "07"
" Pip Pirrup
" "01" "07"
" Clyde Donovan
" "01" "07"
" Bill Allen
" "01" "07"
" Fosse McDonald
" "01" "07"
" Principal Victoria
" "01" "07"
" Ms. Crabtree
" "01" "07"
" Mr. Garrison
" "01" "07"
" Mr. Hat
" "01" "07"
" Jogger
" "01" "07"
" Chef
" "01" "07"
" Johnson
" "01" "07"
" Mayor McDaniels
" "01" "07"
" Officer Barbrady
" "01" "07"
" Adolf Hitler
" "01" "07"
" Tom, the Reporter
" "01" "07"
" Midget wearing a Bikini
" "01" "07"
" Two Russian Cosmonauts
" "01" "07"
" Doctor
" "01" "07"
" Mr. Torres
" "01" "07"
" Mortician
" "01" "07"
" Marty
" "01" "07"
" Passer-by
" "01" "07"
" Narrator
" "01" "07"
" Elderly Woman
" "01" "07"
" Dude
" "01" "07"
" Hotline Voice
" "01" "07"
" Stan Marsh
" "01" "08"
" Kyle Broflovski
" "01" "08"
" Eric Cartman
" "01" "08"
" Kenny McCormick
" "01" "08"
" Wendy Testaburger
" "01" "08"
" Bebe Stevens
" "01" "08"
" Clyde Donovan
" "01" "08"
" Pip Pirrup
" "01" "08"
" Mr. Garrison
" "01" "08"
" Mr. Hat
" "01" "08"
" Liane Cartman
" "01" "08"
" Stuart McCormick
" "01" "08"
" Mrs. McCormick
" "01" "08"
" Chef
" "01" "08"
" Principal Victoria 
" "01" "08"
" Mayor McDaniels
" "01" "08"
" Ted
" "01" "08"
" Johnson
" "01" "08"
" Officer Barbrady
" "01" "08"
" Terrance
" "01" "08"
" Phillip
" "01" "08"
" Turkeys
" "01" "08"
" Mephesto
" "01" "08"
" Red Cross Workers
