"Season" "Episode" "Character" "Text"
"03" "01" "
" "[South Park Elementary, Garrison's class. A group of visiting kids in yellow G.G.W.K. shirts stands next to Garrison]
"
"03" "01" "Mr. Garrison:
" "Okay, children, we have a special guest today, a woman recruiting young people [she walks to the group and smiles] for a national choir tour. Now I know that choir tours are totally stupid and lame [she frowns], but please, give her your full attention. [to her] Go ahead.
"
"03" "01" "Choir Teacher:
" "Uh. Thank you, Mr. Garrison. [cheerfully] How are we all doing today?! [the kids' eyes wander] I can't hear you! I said, How are we all doing?! [Cartman farts]
"
"03" "01" "Mr. Garrison:
" "[angrily] Eric Cartman, you say excuse me!
"
"03" "01" "Cartman:
" "Okay.
"
"03" "01" "Mr. Garrison:
" "[to the choir teacher] Go ahead.
"
"03" "01" "Choir Teacher:
" "Children, we are a national choir called, Getting Gay With Kids! We're gonna do a big tour down in Central America to help save the rainforest, and you can be a part of it!
"
"03" "01" "Kenny:
" "(This sounds fucking screwed.) [the others laugh]
"
"03" "01" "Mr. Garrison:
" "Kenny McCormick, you speak when you're spoken to!! [to the choir teacher] Go ahead.
"
"03" "01" "Choir Teacher:
" "You see, we take kids from all over the country and put them in a choir [Pip yawns and Bill notices. Clyde nods off] where we sing and dance to raise awareness about our vanishing rainforest.
"
"03" "01" "Choir Boy:
" "[steps forward] Did you know over 10,000 acres of rainforest are bulldozed every year?
"
"03" "01" "Choir Girl:
" "[steps forward] That's right. And over 30% of the world's oxygen [Kenny sees her and begins to swoon] is made in the rainforest. [smiles back at him. Kenny's in love - ahem, distracted. The camera stays on him]
"
"03" "01" "Choir Teacher:
" "So, who wants to join the fun??
"
"03" "01" "Cartman:
" "What if you don't have any rhythm?
"
"03" "01" "Choir Teacher:
" "Excuse me?
"
"03" "01" "Cartman:
" "Well, like my friend Kyle. He's Jewish, so he doesn't have any rhythm.
"
"03" "01" "Kyle:
" "Shut up, fatass!
"
"03" "01" "Stan:
" "Choirs suck.
"
"03" "01" "Mr. Garrison:
" "Kyle Broflovski, you watch your language!! Eric Cartman, you be nice to people!! Stan Marsh, you mind your manners!! Kenny McCormick, you pay attention!! [sighs deeply and tells the choir teacher] Go ahead.
"
"03" "01" "Choir Teacher:
" "Well, uh, that's all, really. [the girl picks her nose, smiling at Kenny] So, if anyone is interested in seeing the rainforest and joining our choir, I'll leave information packets up front.
"
"03" "01" "Cartman:
" "Oh, that's good. We need some more toilet paper. [the other kids laugh]
"
"03" "01" "Mr. Garrison:
" "All right, that does it!!
"
"03" "01" "
" "[Mr. Mackey's office. Craig isn't sitting on the bench outside, as he usually is.]
"
"03" "01" "Mr. Mackey:
" "[behind the door] I am tired of seeing you in my office, young man! [The camera is now inside] You get sent here every day, Craig!
"
"03" "01" "Craig Tucker:
" "I know.
"
"03" "01" "Mr. Mackey:
" "Why can't you behave?
"
"03" "01" "Craig:
" "...I don't know.
"
"03" "01" "Mr. Mackey:
" "What do you have to say for yourself?! [nothing] Well, I tell you what, young man. Uh, you're gonna be held back a grade if you don't luh- [Craig sticks his right middle finger up] Did you just flip me off?
"
"03" "01" "Craig:
" "No.
"
"03" "01" "Mr. Mackey:
