"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"ã‚âquãƒâ",0,1,5,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"aaa",1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"aaaa",1,1,3,1,0,4,0,0,0,2,2,0,1,1,2,2,0,0
"aaaaa",6,3,5,2,0,4,1,0,0,0,0,0,4,1,0,6,0,0
"aaaaaa",2,2,2,2,1,0,3,0,0,0,0,0,2,1,0,1,0,0
"aaaaaaa",0,1,5,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"aaaaaaaa",1,2,3,2,1,1,0,0,0,0,0,0,2,1,2,0,0,0
"aaaaaaaaa",0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0
"aaaaaaaaaah",1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
"aaaaaaaah",0,1,0,0,0,0,0,3,0,0,4,1,1,0,0,0,0,0
"aaaaaaah",0,1,0,1,2,0,0,3,1,1,1,0,1,0,1,1,0,0
"aaaaaah",1,0,3,1,0,1,0,1,0,0,0,0,0,2,3,0,0,1
"aaaaah",8,5,5,3,1,1,1,5,2,0,1,0,2,0,6,1,2,1
"aaaah",11,13,11,3,1,7,3,10,4,6,0,3,3,2,3,5,0,0
"aaaah aaaah",2,3,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
"aaaah oh",0,0,1,0,0,2,1,0,0,1,0,0,1,1,1,0,0,0
"aaaahh",0,0,0,0,2,1,2,1,0,0,0,0,0,0,1,0,0,0
"aaaargh",0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
"aaagh",0,1,1,0,1,1,0,0,1,0,1,0,2,2,0,0,0,0
"aaah",16,9,8,3,3,8,1,2,4,1,3,1,1,4,4,1,1,2
"aaah oh",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"aaahh",1,1,0,1,0,2,2,0,0,0,0,0,1,0,0,1,0,0
"aaahhh",0,0,0,0,2,4,0,0,0,0,2,1,0,0,0,0,0,1
"aaand",2,4,1,2,1,0,2,2,1,0,2,2,3,2,2,0,4,4
"aagh",2,2,1,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"aah",5,2,3,5,4,7,1,3,3,1,3,2,1,3,0,1,0,1
"aahh",2,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,0
"aall",0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"aand",1,6,3,2,2,9,3,0,5,1,6,3,2,1,2,0,1,0
"abandon",0,0,0,3,2,0,0,0,0,1,0,1,2,0,3,0,0,1
"abil",0,1,0,1,3,1,1,5,2,2,2,0,0,4,0,0,1,2
"abl",2,12,6,5,10,14,9,9,6,6,6,3,7,10,6,8,15,6
"abl get",1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,3,0
"abl keep",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
"aboard",2,2,0,0,0,3,1,0,0,0,2,0,0,0,1,1,0,0
"aboot",0,4,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,3
"abort",0,11,0,2,16,1,1,15,8,2,2,4,14,0,0,1,1,0
"abort clinic",0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"abraham",0,1,7,2,3,0,0,0,4,0,3,0,0,1,0,0,0,0
"abraham lincoln",0,1,3,0,2,0,0,0,3,0,3,0,0,1,0,0,0,0
"absolut",3,7,5,3,1,3,2,4,2,1,1,3,3,1,0,6,0,4
"absolut noth",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2
"absolut sure",0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,1,0,1
"absorb",0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,0,0,2
"abus",0,0,6,3,1,0,1,2,0,3,0,1,1,1,1,0,2,1
"accept",3,1,6,6,5,9,1,1,6,10,4,0,9,6,9,6,3,4
"access",3,4,1,1,0,0,0,1,0,3,0,6,1,0,2,4,1,10
"accid",0,0,2,6,2,2,7,6,2,1,0,0,0,7,4,0,1,0
"accident",4,0,0,0,0,1,2,1,0,0,1,1,0,3,0,0,1,0
"accomplish",0,0,1,0,2,1,0,1,1,0,3,0,0,1,2,0,0,1
"accord",0,3,1,3,1,0,2,0,0,2,5,0,0,1,3,1,3,0
"account",1,1,1,1,0,1,2,1,0,3,2,0,6,5,8,1,5,0
"accus",0,2,1,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0
"ace",1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"ach",1,1,1,1,2,1,0,0,0,0,1,0,0,2,1,0,1,0
"achiev",0,2,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0
"acknowledg",0,0,0,0,0,2,1,0,1,2,0,0,2,0,2,0,1,0
"across",2,0,2,3,1,4,2,3,0,2,1,6,2,6,10,6,2,0
"across street",0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
"act",10,8,8,13,13,18,13,4,7,3,5,8,10,7,6,11,5,1
"act like",5,0,5,5,2,2,5,1,2,2,1,3,3,2,3,4,2,0
"action",2,13,11,6,2,6,2,11,0,2,4,0,1,2,0,2,1,2
"activ",1,1,2,5,5,1,1,0,2,1,0,2,4,4,0,0,0,1
"activist",0,0,6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"actor",0,0,0,1,1,8,3,0,2,0,1,0,0,2,2,0,0,0
"actual",13,27,12,28,16,19,13,18,22,9,30,14,26,24,38,31,14,27
"actual dont",0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
"actual im",0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"actual just",0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
"actual realli",0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,1
"actual think",2,0,0,3,0,0,0,0,0,0,0,1,0,1,2,0,0,0
"adam",0,5,0,1,0,0,2,4,0,5,0,0,0,0,13,0,0,2
"adapt",0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0
"add",2,1,0,11,2,2,2,1,0,1,1,0,4,11,1,2,2,4
"addict",0,1,0,0,2,1,0,0,1,1,0,1,2,27,7,0,0,22
"address",0,2,1,0,3,0,0,0,2,1,6,1,1,1,2,1,1,1
"adjust",0,1,1,2,0,0,1,0,0,0,0,0,0,0,5,0,0,1
"administr",0,0,1,0,0,1,0,1,0,1,0,1,0,0,2,5,0,0
"admit",3,2,1,8,1,6,1,2,7,1,3,4,12,8,9,4,7,3
"admit im",1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
"adopt",4,5,2,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0
"ador",1,0,1,3,1,0,1,3,1,1,1,1,4,1,1,4,1,0
"adult",0,1,4,12,0,5,0,2,1,2,2,1,1,4,0,1,3,1
"advanc",1,2,1,1,0,2,2,1,0,3,0,4,0,1,0,0,0,3
"advantag",0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,5,0,2
"adventur",1,1,0,1,1,8,5,2,0,27,0,2,5,2,1,3,0,0
"advic",3,1,1,4,2,2,0,1,1,2,0,0,0,0,0,1,0,0
"advis",0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1
